"from"	"to"	"weight"
"Cre02.g110550"	"Cre13.g573150"	0.0285748598898683
"Cre12.g521150"	"Cre16.g680850"	0.0285627981467024
"Cre10.g436800"	"Cre17.g730150"	0.028519267911436
"Cre01.g051174"	"Cre16.g686641"	0.0285128031861316
"Cre16.g675700"	"Cre02.g145450"	0.0284979264201319
"Cre02.g101500"	"Cre01.g047265"	0.0284758443989168
"Cre08.g378450"	"Cre17.g729750"	0.028451614861432
"Cre08.g361400"	"Cre01.g033500"	0.0284110664474481
"Cre01.g010750"	"Cre06.g307551"	0.0283823934200001
"Cre05.g233551"	"Cre11.g467767"	0.0283744487419007
"Cre02.g110550"	"Cre11.g468400"	0.028359182815913
"Cre06.g262800"	"Cre12.g504900"	0.0283268376155007
"Cre07.g340450"	"Cre03.g145107"	0.0282969646235046
"Cre07.g340450"	"Cre15.g634600"	0.0282774768689586
"Cre02.g096300"	"Cre16.g647700"	0.0282627159096926
"Cre16.g673250"	"Cre12.g498850"	0.0282084553197029
"Cre03.g200431"	"Cre13.g561850"	0.0281750044730839
"Cre10.g418600"	"Cre13.g579566"	0.028150764739354
"Cre02.g101500"	"Cre14.g613200"	0.0281076236582205
"Cre08.g383000"	"Cre02.g115508"	0.0280661610439443
"Cre02.g113450"	"Cre09.g397808"	0.0280499446494038
"Cre03.g149350"	"Cre07.g317950"	0.0280422080056642
"Cre03.g162701"	"Cre11.g467900"	0.0279687185056094
"Cre02.g145550"	"Cre10.g466700"	0.0279637088473776
"Cre12.g522400"	"Cre06.g295700"	0.0279480848846467
"Cre07.g318050"	"Cre12.g534050"	0.0279303935295038
"Cre07.g351500"	"Cre08.g358573"	0.0279210051881766
"Cre08.g358532"	"Cre12.g518100"	0.027894893326194
"Cre12.g514400"	"Cre16.g661450"	0.0278831195013492
"Cre06.g255450"	"Cre05.g232800"	0.0278741264641725
"Cre12.g522400"	"Cre17.g721350"	0.0278639931064269
"Cre02.g145550"	"Cre12.g508853"	0.0278387466613781
"Cre07.g335150"	"Cre07.g312550"	0.027826071351455
"Cre02.g101500"	"Cre08.g358800"	0.0277860576865596
"Cre02.g110550"	"Cre14.g624201"	0.0277820183735004
"Cre03.g162701"	"Cre12.g488750"	0.0277814731601603
"Cre08.g361400"	"Cre05.g236550"	0.0277793769163793
"Cre12.g485950"	"Cre02.g082100"	0.0277590847659036
"Cre02.g101500"	"Cre13.g565290"	0.0277128417055361
"Cre01.g009575"	"Cre10.g430750"	0.0276891503031845
"Cre06.g250950"	"Cre02.g076400"	0.0276711718718274
"Cre03.g152150"	"Cre02.g079400"	0.0276641207056966
"Cre02.g096300"	"Cre12.g516350"	0.0276281842576644
"Cre09.g392300"	"Cre12.g514750"	0.0276249692397686
"Cre09.g410450"	"Cre13.g603600"	0.0276145787710208
"Cre11.g467581"	"Cre06.g260750"	0.0276054414918461
"Cre16.g674890"	"Cre13.g583000"	0.0275952213498816
"Cre06.g261450"	"Cre02.g113000"	0.0275509705053267
"Cre03.g198800"	"Cre07.g321550"	0.027544295223187
"Cre03.g183350"	"Cre17.g712600"	0.027500345681481
"Cre14.g614750"	"Cre03.g148350"	0.0274847166615343
"Cre07.g319701"	"Cre13.g586200"	0.0274835361855694
"Cre12.g522400"	"Cre07.g336650"	0.0274392210862244
"Cre05.g233551"	"Cre06.g300250"	0.0274354117722411
"Cre16.g673250"	"Cre15.g640800"	0.0274305915668342
"Cre07.g319701"	"Cre16.g686641"	0.0274257205762096
"Cre09.g397475"	"Cre07.g337900"	0.0274181824561448
"Cre08.g361400"	"Cre06.g278585"	0.027401534478073
"Cre03.g189850"	"Cre14.g612850"	0.02735057186574
"Cre16.g674890"	"Cre07.g334851"	0.0273364410505295
"Cre10.g441300"	"Cre07.g332750"	0.0273218853911424
"Cre08.g361400"	"Cre12.g522400"	0.0272614412356561
"Cre16.g680588"	"Cre17.g711200"	0.0272334861641659
"Cre09.g399289"	"Cre26.g756547"	0.0272181321345323
"Cre08.g361400"	"Cre02.g086200"	0.0272109537102928
"Cre10.g421550"	"Cre05.g234976"	0.0272017236795949
"Cre12.g522400"	"Cre10.g461750"	0.0271868112867523
"Cre06.g285600"	"Cre07.g352350"	0.0271627266032809
"Cre03.g149400"	"Cre17.g708000"	0.0271538063701903
"Cre02.g145550"	"Cre11.g475700"	0.0271168174902365
"Cre05.g238250"	"Cre16.g684550"	0.027098770137881
"Cre02.g101500"	"Cre03.g204500"	0.0270904933922322
"Cre16.g661650"	"Cre06.g294750"	0.0270427830257034
"Cre01.g009575"	"Cre12.g488750"	0.0270112157969311
"Cre02.g145550"	"Cre13.g592250"	0.0269617481348627
"Cre06.g268600"	"Cre13.g592250"	0.0269562822675499
"Cre08.g361400"	"Cre07.g338000"	0.0269408144535563
"Cre16.g673250"	"Cre01.g007400"	0.026918394344368
"Cre02.g078700"	"Cre08.g380250"	0.0269177323787804
"Cre13.g562400"	"Cre17.g713051"	0.0269008756108829
"Cre03.g149350"	"Cre06.g283900"	0.0268985193425761
"Cre02.g101500"	"Cre06.g278585"	0.0268716524369217
"Cre11.g467581"	"Cre17.g720450"	0.0268462509119336
"Cre08.g383000"	"Cre12.g545100"	0.0268450372199072
"Cre16.g654550"	"Cre01.g000800"	0.0268188354641063
"Cre06.g268600"	"Cre10.g445000"	0.0267929668842974
"Cre02.g144800"	"Cre07.g331300"	0.0267877023586684
"Cre06.g270850"	"Cre03.g168605"	0.0267815305716647
"Cre11.g467577"	"Cre16.g657400"	0.026770702043474
"Cre16.g675700"	"Cre12.g487700"	0.0267534606177078
"Cre07.g340450"	"Cre09.g416000"	0.026725400058352
"Cre07.g330050"	"Cre10.g440600"	0.0266915874419324
"Cre06.g256200"	"Cre08.g365050"	0.0266723783886945
"Cre07.g319701"	"Cre06.g278220"	0.0266555934766509
"Cre09.g411600"	"Cre13.g581550"	0.0266488137747986
"Cre03.g149350"	"Cre06.g304150"	0.0266299908994979
"Cre09.g401219"	"Cre18.g748497"	0.0266160502423035
"Cre16.g667150"	"Cre12.g546770"	0.026598885709013
"Cre05.g238250"	"Cre07.g322850"	0.0265629354745715
"Cre08.g361400"	"Cre09.g387319"	0.026555057809716
"Cre07.g329650"	"Cre15.g641875"	0.0265372275037791
"Cre06.g275350"	"Cre01.g005400"	0.0265360237975578
"Cre03.g189850"	"Cre01.g029100"	0.0265199250389562
"Cre07.g345050"	"Cre43.g760597"	0.0264977713421783
"Cre12.g522400"	"Cre06.g278585"	0.0264901161480915
"Cre03.g162701"	"Cre06.g272200"	0.0264441927512351
"Cre02.g110550"	"Cre06.g301500"	0.0264292881155343
"Cre08.g361400"	"Cre06.g272900"	0.0264106235263231
"Cre01.g008200"	"Cre07.g322850"	0.0263952856558344
"Cre06.g285600"	"Cre12.g514400"	0.0263674687242851
"Cre12.g541777"	"Cre10.g427700"	0.0263468148429878
"Cre01.g008200"	"Cre02.g115950"	0.0262937261679559
"Cre06.g261450"	"Cre02.g113200"	0.0262484289010599
"Cre06.g254650"	"Cre07.g328450"	0.0262447420596005
"Cre02.g101150"	"Cre01.g035900"	0.0262275113634131
"Cre07.g340450"	"Cre03.g204500"	0.0262001946208059
"Cre07.g319701"	"Cre17.g726900"	0.0261786732298313
"Cre06.g275500"	"Cre03.g202449"	0.026172990043219
"Cre01.g008200"	"Cre03.g144124"	0.0261601116412676
"Cre03.g197100"	"Cre12.g495951"	0.0261449209923518
"Cre10.g418600"	"Cre03.g160850"	0.0260907524495319
"Cre08.g361400"	"Cre16.g651000"	0.0260864169259295
"Cre12.g522400"	"Cre11.g483250"	0.0260715137131669
"Cre06.g285600"	"Cre12.g490800"	0.0260605459577128
"Cre03.g212641"	"Cre12.g559550"	0.026013312200691
"Cre16.g672300"	"Cre17.g730150"	0.0260109861570064
"Cre03.g149350"	"Cre11.g467900"	0.0259958514571103
"Cre16.g671900"	"Cre17.g721300"	0.0259894709508173
"Cre13.g581150"	"Cre03.g190700"	0.0259777746581772
"Cre14.g620850"	"Cre06.g298050"	0.025969340131541
"Cre03.g189850"	"Cre06.g254700"	0.0259563915782987
